"Purchase","Usefulness","Packaging","Price","Gender"
"Leave Item",3,5,4,"Female"
"Buy Item",7,6,5,"Female"
"Buy Item",6,7,7,"Female"
"Leave Item",1,4,7,"Female"
"Leave Item",4,6,6,"Female"
"Wish List",4,6,6,"Female"
"Buy Item",7,7,6,"Female"
"Wish List",6,7,7,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",6,4,8,"Female"
"Leave Item",3,8,5,"Female"
"Leave Item",4,7,5,"Female"
"Leave Item",5,7,5,"Female"
"Leave Item",5,8,4,"Female"
"Leave Item",5,6,5,"Female"
"Buy Item",7,7,7,"Female"
"Wish List",5,6,6,"Female"
"Buy Item",8,8,8,"Female"
"Wish List",5,6,7,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",4,6,5,"Female"
"Leave Item",3,5,6,"Female"
"Wish List",5,6,6,"Female"
"Wish List",6,7,0,"Female"
"Wish List",5,7,3,"Female"
"Leave Item",5,7,7,"Female"
"Leave Item",5,3,5,"Female"
"Leave Item",4,6,10,"Female"
"Buy Item",6,6,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",6,7,7,"Female"
"Wish List",5,2,5,"Female"
"Leave Item",3,7,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",4,6,5,"Female"
"Buy Item",5,6,6,"Female"
"Leave Item",5,5,5,"Female"
"Wish List",4,7,9,"Female"
"Buy Item",3,7,7,"Female"
"Leave Item",5,7,6,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",6,6,5,"Female"
"Leave Item",5,6,7,"Female"
"Leave Item",4,6,6,"Female"
"Wish List",7,6,6,"Female"
"Leave Item",4,6,5,"Female"
"Leave Item",5,6,5,"Female"
"Leave Item",4,6,6,"Female"
"Wish List",6,6,6,"Female"
"Wish List",4,7,5,"Female"
"Leave Item",6,7,6,"Female"
"Buy Item",5,7,6,"Female"
"Wish List",5,6,5,"Female"
"Wish List",5,6,6,"Female"
"Buy Item",7,7,7,"Female"
"Wish List",4,6,6,"Female"
"Leave Item",5,6,5,"Female"
"Leave Item",5,6,2,"Female"
"Leave Item",4,7,7,"Female"
"Leave Item",5,5,6,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",2,9,5,"Female"
"Leave Item",3,6,6,"Female"
"Wish List",5,7,7,"Female"
"Wish List",4,6,5,"Female"
"Leave Item",5,6,3,"Female"
"Leave Item",5,4,6,"Female"
"Leave Item",5,6,7,"Female"
"Wish List",5,6,6,"Female"
"Wish List",4,10,6,"Female"
"Wish List",6,2,10,"Female"
"Wish List",4,7,5,"Female"
"Leave Item",3,3,5,"Female"
"Wish List",6,7,7,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",3,5,6,"Female"
"Leave Item",6,6,7,"Female"
"Leave Item",5,7,6,"Female"
"Wish List",6,6,6,"Female"
"Wish List",5,8,6,"Female"
"Leave Item",7,5,6,"Female"
"Wish List",3,7,6,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",6,5,5,"Female"
"Leave Item",6,6,7,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",4,5,4,"Female"
"Leave Item",2,6,7,"Female"
"Leave Item",3,5,4,"Female"
"Leave Item",5,7,6,"Female"
"Wish List",5,7,6,"Female"
"Wish List",6,6,7,"Female"
"Leave Item",6,8,6,"Female"
"Leave Item",5,4,5,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",5,6,9,"Female"
"Buy Item",7,6,8,"Female"
"Wish List",3,6,5,"Female"
"Wish List",4,7,5,"Female"
"Leave Item",5,1,5,"Female"
"Leave Item",6,7,6,"Female"
"Leave Item",4,7,3,"Female"
"Wish List",3,4,4,"Female"
"Buy Item",6,7,9,"Female"
"Leave Item",4,6,5,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",3,5,7,"Female"
"Wish List",4,7,2,"Female"
"Wish List",6,2,5,"Female"
"Leave Item",4,7,6,"Female"
"Wish List",6,6,5,"Female"
"Leave Item",5,8,6,"Female"
"Wish List",4,7,8,"Female"
"Leave Item",4,7,6,"Female"
"Wish List",8,6,6,"Female"
"Wish List",6,7,6,"Female"
"Leave Item",4,4,5,"Female"
"Buy Item",6,4,6,"Female"
"Leave Item",6,5,6,"Female"
"Leave Item",5,7,5,"Female"
"Buy Item",7,7,6,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",4,7,5,"Female"
"Leave Item",3,7,5,"Female"
"Wish List",4,6,6,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",6,4,6,"Female"
"Wish List",7,5,5,"Female"
"Leave Item",4,7,5,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",5,10,5,"Female"
"Leave Item",5,6,5,"Female"
"Leave Item",4,1,6,"Female"
"Leave Item",3,7,5,"Female"
"Wish List",8,6,8,"Female"
"Wish List",6,8,6,"Female"
"Leave Item",4,7,5,"Female"
"Wish List",5,6,6,"Female"
"Wish List",4,7,6,"Female"
"Leave Item",6,8,7,"Female"
"Leave Item",5,7,6,"Female"
"Leave Item",0,4,5,"Female"
"Leave Item",4,6,7,"Female"
"Wish List",5,4,5,"Female"
"Leave Item",5,6,7,"Female"
"Leave Item",4,6,5,"Female"
"Wish List",6,7,6,"Female"
"Leave Item",5,9,6,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",5,6,5,"Female"
"Wish List",6,5,6,"Female"
"Wish List",5,7,6,"Female"
"Wish List",4,7,5,"Female"
"Leave Item",3,6,5,"Female"
"Leave Item",4,5,5,"Female"
"Leave Item",5,5,6,"Female"
"Wish List",5,2,6,"Female"
"Leave Item",6,7,6,"Female"
"Leave Item",4,5,6,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",3,9,7,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",7,6,5,"Female"
"Wish List",4,6,5,"Female"
"Leave Item",5,4,5,"Female"
"Leave Item",2,4,3,"Female"
"Wish List",6,2,6,"Female"
"Wish List",5,5,6,"Female"
"Buy Item",6,6,6,"Female"
"Wish List",6,7,7,"Female"
"Buy Item",6,6,7,"Female"
"Leave Item",5,6,6,"Female"
"Leave Item",4,6,5,"Female"
"Wish List",5,7,8,"Female"
"Wish List",5,7,6,"Female"
"Leave Item",4,6,6,"Female"
"Leave Item",5,7,6,"Female"
"Wish List",4,1,5,"Female"
"Wish List",7,6,6,"Female"
"Wish List",5,4,5,"Female"
"Wish List",4,6,5,"Female"
"Wish List",6,6,6,"Female"
"Wish List",3,6,5,"Female"
"Leave Item",2,6,5,"Female"
"Wish List",4,5,6,"Female"
"Wish List",4,0,6,"Female"
"Leave Item",5,6,5,"Female"
"Wish List",4,6,6,"Female"
"Wish List",5,3,9,"Female"
"Buy Item",7,7,7,"Female"
"Buy Item",6,8,3,"Female"
"Leave Item",3,10,4,"Female"
"Wish List",5,7,6,"Female"
"Wish List",5,3,6,"Female"
"Wish List",5,0,7,"Female"
"Wish List",4,7,6,"Female"
"Wish List",7,3,7,"Female"
"Wish List",3,6,5,"Female"
"Leave Item",5,7,6,"Female"
"Leave Item",5,6,10,"Female"
"Wish List",5,5,5,"Female"
"Wish List",5,8,5,"Female"
"Wish List",5,6,3,"Female"
"Leave Item",3,7,5,"Female"
"Wish List",6,6,6,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",7,8,5,"Female"
"Wish List",5,6,6,"Female"
"Leave Item",4,5,5,"Female"
"Leave Item",4,9,6,"Female"
"Leave Item",5,7,6,"Female"
"Wish List",6,5,2,"Female"
"Buy Item",6,7,6,"Female"
"Wish List",3,6,9,"Female"
"Leave Item",4,6,5,"Female"
"Wish List",4,6,5,"Female"
"Leave Item",4,7,6,"Female"
"Leave Item",5,6,6,"Female"
"Wish List",3,9,6,"Female"
"Buy Item",4,7,7,"Female"
"Wish List",6,7,6,"Female"
"Wish List",5,2,6,"Female"
